row_id,source_file,row_in_file,case_group,case_subgroup,text
10,concejalias.csv,10,Deportes,"TRÁMITE · Reservas deportivas Reservae (actividades, instalaciones y mis reservas)","Concejalía: Deportes. Subtema: TRÁMITE · Reservas deportivas Reservae (actividades, instalaciones y mis reservas). Para gestiones deportivas en Reservae usa el enlace que corresponda, copiado tal cual: reservar o ver actividades https://alguazas.reservae.es/actividades/ ; reserva de instalaciones http://alguazas.reservae.es/ ; consultar mis reservas https://alguazas.reservae.es/mireserva . No hace falta leer la página para responder: comparte el enlace adecuado a lo que pida el ciudadano."
11,concejalias.csv,11,Bienestar Animal,TRÁMITE · Censar mi perro (requisitos e inscripción),"Concejalía: Bienestar Animal. Subtema: TRÁMITE · Censar mi perro (requisitos e inscripción). Para censar tu perro necesitas presentar una fotocopia de tu DNI como propietario y la cartilla sanitaria del animal, junto al modelo de solicitud. No hay que pagar tasas por la inscripción. El formulario se publica en https://alguazas.es/concejalia-de-bienestar-animal/ : localiza el enlace exacto de descarga en esa página (cópialo carácter a carácter; no lo inventes). Si no tienes el enlace exacto, usa la página general. Toda la información sobre inscripción censo canino se publica en esta página del ayuntamiento, que se mantiene actualizada: https://alguazas.es/concejalia-de-bienestar-animal/. Se trata de un formulario o modelo de instancia para rellenar y presentar — no contiene información explicativa que debas leer ni interpretar, así que NO necesitas abrir ni leer el documento en ningún caso. Accede a la página y localiza únicamente el enlace de descarga del documento relacionado con la pregunta del ciudadano — no asumas que siempre se llama igual, puede cambiar de un año a otro. Utiliza siempre un tono cercano y sencillo, fácil de entender para cualquier vecino. IMPORTANTE sobre el enlace que des al ciudadano — esta es una causa frecuente de errores: el enlace de descarga tiene que ser una copia EXACTA, carácter por carácter, del atributo href/URL tal como aparece en el código de la página que acabas de consultar. Nunca lo escribas de memoria, nunca lo deduzcas a partir del título o del nombre del documento, y nunca construyas una URL 'con pinta plausible' aunque te parezca razonable — eso es exactamente lo que produce enlaces rotos que acaban llevando a la página principal del ayuntamiento en vez de al documento. Si no tienes el enlace exacto delante, tal como aparece en la página (no lo recuerdes ni lo infieras), NO lo inventes bajo ningún concepto: usa en su lugar el enlace de esta página general, copiado tal cual: https://alguazas.es/concejalia-de-bienestar-animal/. Al terminar la respuesta, añade una coletilla así: si tienes el enlace exacto y verificado del documento, del tipo ""Puedes descargar el formulario de inscripción censo canino en este enlace: [enlace exacto copiado de la página].""; si no lo tienes con total seguridad, del tipo ""Para más información sobre inscripción censo canino, puedes consultarlo en este enlace: https://alguazas.es/concejalia-de-bienestar-animal/."""
12,concejalias.csv,12,Bienestar Animal,TRÁMITE · Protectora local ANERPA,"Concejalía: Bienestar Animal. Subtema: TRÁMITE · Protectora local ANERPA. Toda la información sobre protectora local ANERPA está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre protectora local ANERPA, puedes pulsar en este enlace: https://facebook.com/anerpa.org."""
13,concejalias.csv,13,Bienestar Animal,TRÁMITE · Voluntarios colonias felinas,"Concejalía: Bienestar Animal. Subtema: TRÁMITE · Voluntarios colonias felinas. Toda la información sobre voluntarios colonias felinas está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre voluntarios colonias felinas, puedes pulsar en este enlace: https://alguazas.es/voluntarios-colonias-felinas/."""
14,concejalias.csv,14,Bienestar Animal,TRÁMITE · Instalaciones caninas,"Concejalía: Bienestar Animal. Subtema: TRÁMITE · Instalaciones caninas. Toda la información sobre instalaciones caninas está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre instalaciones caninas, puedes pulsar en este enlace: https://alguazas.es/instalaciones-caninas-2/."""
15,concejalias.csv,15,Bienestar Animal,TRÁMITE · Obligaciones tenencia de animales,"Concejalía: Bienestar Animal. Subtema: TRÁMITE · Obligaciones tenencia de animales. En la Ordenanza municipal reguladora de la tenencia, protección y bienestar de los animales de compañía en Alguazas puedes consultar todas normas y prohibiciones en cuanto a la materia. Puedes descargarla aquí."
16,concejalias.csv,16,Bienestar Animal,TRÁMITE · Animales sueltos en la calle,"Concejalía: Bienestar Animal. Subtema: TRÁMITE · Animales sueltos en la calle. La respuesta es no. Los animales deben ir atados con correa en todo momento, salvo que se encuentren dentro de las zonas de esparcimiento animal habilitadas para el recreo canino. Si el animal es potencialmente peligroso, debe llevar también bozal y una correa de máximo dos metros de largo. Los perros potencialmente peligrosos no pueden quedar sueltos en las zonas de esparcimiento animal, y sus propietarios deben llevar encima la documentación del animal en todo momento.

Que un perro se encuentre suelto por la calle es sancionable conforme a la Ordenanza municipal. También lo es como una infracción leve si el animal se ha escapado de su hogar, haciéndose responsables en todo momento sus titulares."
17,concejalias.csv,17,Bienestar Animal,TRÁMITE · Clínicas veterinarias,"Concejalía: Bienestar Animal. Subtema: TRÁMITE · Clínicas veterinarias. Hay dos. En calle Santa Micaela se encuentra el Centro Veterinario Mundo Animal, y en calle Hernán Cortés el Centro Veterinario del Carmen."
18,concejalias.csv,18,Bienestar Animal,CONTACTO · Dirección General de Derechos de los Animales,Concejalía: Bienestar Animal. Subtema: CONTACTO · Dirección General de Derechos de los Animales. Puedes consultar la Dirección General de Derechos de los Animales en este enlace: https://www.facebook.com/AnimalesGob/
19,concejalias.csv,19,Comercio,TRÁMITE · Comercios locales (ACE Alguazas),"Concejalía: Comercio. Subtema: TRÁMITE · Comercios locales (ACE Alguazas). Toda la información sobre comercios locales (ACE Alguazas) está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre comercios locales (ACE Alguazas), puedes pulsar en este enlace: https://acealguazas.es/#/."""
20,concejalias.csv,20,Comercio,TRÁMITE · Ayudas y subvenciones (INFO Murcia),"Concejalía: Comercio. Subtema: TRÁMITE · Ayudas y subvenciones (INFO Murcia). Toda la información sobre ayudas y subvenciones (INFO Murcia) está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre ayudas y subvenciones (INFO Murcia), puedes pulsar en este enlace: https://www.institutofomentomurcia.es/ayudas-y-subvenciones."""
21,concejalias.csv,21,Comercio,TRÁMITE · Newsletter para empresas,"Concejalía: Comercio. Subtema: TRÁMITE · Newsletter para empresas. Sobre newsletter para empresas: es un trámite o gestión que el ciudadano debe realizar directamente en el siguiente enlace, que ya es la dirección final y no cambia: https://forms.gle/XprYEZPGpRbJcjCaA. No necesitas acceder a la página ni leer su contenido para responder — comparte directamente este enlace, copiado tal cual, sin modificarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina la respuesta con una frase del tipo: ""Puedes realizar el trámite de newsletter para empresas directamente en este enlace: https://forms.gle/XprYEZPGpRbJcjCaA."""
22,concejalias.csv,22,Comercio,TRÁMITE · Solicitud de mesas terraza hostelería,"Concejalía: Comercio. Subtema: TRÁMITE · Solicitud de mesas terraza hostelería. Sobre solicitud de mesas terraza hostelería: es un trámite o gestión que el ciudadano debe realizar directamente en el siguiente enlace, que ya es la dirección final y no cambia: https://alguazas.sedelectronica.es/dossier.7.2. No necesitas acceder a la página ni leer su contenido para responder — comparte directamente este enlace, copiado tal cual, sin modificarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina la respuesta con una frase del tipo: ""Puedes realizar el trámite de solicitud de mesas terraza hostelería directamente en este enlace: https://alguazas.sedelectronica.es/dossier.7.2."""
23,concejalias.csv,23,Comercio,TRÁMITE · Solicitud de licencia de apertura,"Concejalía: Comercio. Subtema: TRÁMITE · Solicitud de licencia de apertura. Sobre solicitud de licencia de apertura: es un trámite o gestión que el ciudadano debe realizar directamente en el siguiente enlace, que ya es la dirección final y no cambia: https://alguazas.sedelectronica.es/dossier.1. No necesitas acceder a la página ni leer su contenido para responder — comparte directamente este enlace, copiado tal cual, sin modificarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina la respuesta con una frase del tipo: ""Puedes realizar el trámite de solicitud de licencia de apertura directamente en este enlace: https://alguazas.sedelectronica.es/dossier.1."""
24,concejalias.csv,24,Comercio,TRÁMITE · Solicitud de declaración responsable,"Concejalía: Comercio. Subtema: TRÁMITE · Solicitud de declaración responsable. Sobre solicitud de declaración responsable: es un trámite o gestión que el ciudadano debe realizar directamente en el siguiente enlace, que ya es la dirección final y no cambia: https://alguazas.sedelectronica.es/dossier.1. No necesitas acceder a la página ni leer su contenido para responder — comparte directamente este enlace, copiado tal cual, sin modificarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina la respuesta con una frase del tipo: ""Puedes realizar el trámite de solicitud de declaración responsable directamente en este enlace: https://alguazas.sedelectronica.es/dossier.1."""
25,concejalias.csv,25,Comercio,TRÁMITE · Servicios a empresas del SEF,"Concejalía: Comercio. Subtema: TRÁMITE · Servicios a empresas del SEF. Toda la información sobre servicios a empresas del SEF está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre servicios a empresas del SEF, puedes pulsar en este enlace: http://www.sefcarm.es/web/pagina?IDCONTENIDO=29982&IDTIPO=100&RASTRO=c$m."""
26,concejalias.csv,26,Comercio,TRÁMITE · Portal IPYME,"Concejalía: Comercio. Subtema: TRÁMITE · Portal IPYME. Toda la información sobre portal IPYME está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre portal IPYME, puedes pulsar en este enlace: http://www.ipyme.org/."""
27,concejalias.csv,27,Comercio,TRÁMITE · ODEPA,"Concejalía: Comercio. Subtema: TRÁMITE · ODEPA. Toda la información sobre ODEPA está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre ODEPA, puedes pulsar en este enlace: https://odepa.carm.es."""
28,concejalias.csv,28,Comercio,TRÁMITE · Crea tu plan de empresa,"Concejalía: Comercio. Subtema: TRÁMITE · Crea tu plan de empresa. Toda la información sobre crea tu plan de empresa está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre crea tu plan de empresa, puedes pulsar en este enlace: https://planempresa.ipyme.org."""
29,concejalias.csv,29,Comercio,TRÁMITE · Instituto de Fomento de la Región de Murcia,"Concejalía: Comercio. Subtema: TRÁMITE · Instituto de Fomento de la Región de Murcia. Toda la información sobre instituto de fomento de la región de murcia está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre instituto de fomento de la región de murcia, puedes pulsar en este enlace: https://www.institutofomentomurcia.es."""
30,concejalias.csv,30,Comercio,TRÁMITE · Ayudas y servicios del SEF a autónomos,"Concejalía: Comercio. Subtema: TRÁMITE · Ayudas y servicios del SEF a autónomos. Toda la información sobre ayudas y servicios del SEF a autónomos está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre ayudas y servicios del SEF a autónomos, puedes pulsar en este enlace: http://www.sefcarm.es/web/pagina?IDCONTENIDO=40948&IDTIPO=100&RASTRO=c$m29982."""
31,concejalias.csv,31,Comercio,TRÁMITE · Punto de Atención al Emprendedor,"Concejalía: Comercio. Subtema: TRÁMITE · Punto de Atención al Emprendedor. Toda la información sobre punto de atención al emprendedor está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre punto de atención al emprendedor, puedes pulsar en este enlace: https://paeelectronico.es/es-es/Paginas/PagInicio.aspx."""
32,concejalias.csv,32,Comercio,TRÁMITE · Montar empresa o negocio,"Concejalía: Comercio. Subtema: TRÁMITE · Montar empresa o negocio. Si estás interesado en emprender una empresa o negocio en Alguazas, contacta con la Oficina del Emprendedor (adl@alguazas.es) y te ayudaremos desde el punto de partida (creación de un Plan de Empresa), la búsqueda de local o nave, la tramitación de ayudas y subvenciones, financiación, licencia de apertura y todos los trámites hasta la apertura del establecimiento."
33,concejalias.csv,33,Comercio,TRÁMITE · Coste licencia de apertura,"Concejalía: Comercio. Subtema: TRÁMITE · Coste licencia de apertura. Nada. Desde diciembre de 2020 que entró en vigor la derogación definitiva de la tasa fiscal por la licencia de apertura, abrir un negocio en Alguazas no conlleva ninguna tasa administrativa. Únicamente hay que presentar la declaración responsable o licencia de apertura con la documentación que se requiere, sin pagar tasa alguna."
34,concejalias.csv,34,Comercio,TRÁMITE · Puesto mercado semanal,"Concejalía: Comercio. Subtema: TRÁMITE · Puesto mercado semanal. El plazo de solicitudes de puesto en el mercado semanal finalizó el pasado 24-12-2020. No obstante, si estás interesado en un puesto y quieres formar parte de la lista de espera para cuando haya disponibilidad, debes presentar toda la documentación requerida junto al siguiente escrito (https://alguazas.es/wp-content/uploads/2021/02/INSTANCIA-GENERAL-CONCESION-AUTORIZACIONES-MERCADO-2021.pdf).

La documentación requerida es:

- Fotocopia del DNI/NIE/CIF.

- Justificante actualizado de alta en el régimen especial de trabajadores autónomo.

- Justificante actualizado de alta en el Impuesto sobre Actividades Económicas.

- Certificados de encontrarse al corriente con las obligaciones de la Seguridad Social y las

obligaciones fiscales de la AEAT.

- En caso de estar asociado a cooperativa, presentación de los documentos acreditativos

de IAE y de Seguridad Social correspondientes y actualizados.

- Póliza seguro de responsabilidad civil.

- Número de cuenta bancaria (IBAN) para domiciliación de recibos.

- Fotocopia del carnet de manipulador de alimentos en caso necesario."
35,concejalias.csv,35,Comercio,TRÁMITE · Negocio Plaza de Abastos,"Concejalía: Comercio. Subtema: TRÁMITE · Negocio Plaza de Abastos. Actualmente hay siete puestos disponibles, aunque no hay convocatoria abierta para solicitarlos. Si estás interesado en un puesto, envíanos un correo a adl@alguazas.es o contacta con la Oficina del Emprendedor."
36,concejalias.csv,36,Empleo y Formación,TRÁMITE · Oficina del Emprendedor,"Concejalía: Empleo y Formación. Subtema: TRÁMITE · Oficina del Emprendedor. Toda la información sobre oficina del emprendedor está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre oficina del emprendedor, puedes pulsar en este enlace: https://alguazas.es/oficina-del-emprendedor/."""
37,concejalias.csv,37,Hacienda,TRÁMITE · Factura electrónica (FACe),"Concejalía: Hacienda. Subtema: TRÁMITE · Factura electrónica (FACe). Toda la información sobre factura electrónica (FACe) está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre factura electrónica (FACe), puedes pulsar en este enlace: https://face.gob.es/."""
38,concejalias.csv,38,Juventud,TRÁMITE · InformaJoven,"Concejalía: Juventud. Subtema: TRÁMITE · InformaJoven. Toda la información sobre informajoven está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre informajoven, puedes pulsar en este enlace: http://juventud.alguazas.es/?page_id=6368."""
39,concejalias.csv,39,Juventud,TRÁMITE · Crea tu asociación juvenil,"Concejalía: Juventud. Subtema: TRÁMITE · Crea tu asociación juvenil. Toda la información sobre crea tu asociación juvenil está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre crea tu asociación juvenil, puedes pulsar en este enlace: https://juventud.alguazas.es/asociaciones/."""
40,concejalias.csv,40,Juventud,TRÁMITE · Web Juventud Alguazas,"Concejalía: Juventud. Subtema: TRÁMITE · Web Juventud Alguazas. Toda la información sobre web juventud alguazas está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre web juventud alguazas, puedes pulsar en este enlace: http://juventud.alguazas.es/."""
41,concejalias.csv,41,Juventud,TRÁMITE · Solicitar beca educación,"Concejalía: Juventud. Subtema: TRÁMITE · Solicitar beca educación. Toda la información sobre solicitar beca educación está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre solicitar beca educación, puedes pulsar en este enlace: http://www.educacionyfp.gob.es/servicios-al-ciudadano/catalogo/estudiantes/becas-ayudas.html."""
42,concejalias.csv,42,Juventud,TRÁMITE · MundoJoven,"Concejalía: Juventud. Subtema: TRÁMITE · MundoJoven. Toda la información sobre mundojoven está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre mundojoven, puedes pulsar en este enlace: https://www.mundojoven.org/."""
43,concejalias.csv,43,Obras y Servicios,TRÁMITE · Solicitud de corte de vía pública,"Concejalía: Obras y Servicios. Subtema: TRÁMITE · Solicitud de corte de vía pública. Sobre solicitud de corte de vía pública: es un trámite o gestión que el ciudadano debe realizar directamente en el siguiente enlace, que ya es la dirección final y no cambia: https://alguazas.sedelectronica.es/?x=5ExRsTHzt5Na8TIBl3R-Cg. No necesitas acceder a la página ni leer su contenido para responder — comparte directamente este enlace, copiado tal cual, sin modificarlo. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina la respuesta con una frase del tipo: ""Puedes realizar el trámite de solicitud de corte de vía pública directamente en este enlace: https://alguazas.sedelectronica.es/?x=5ExRsTHzt5Na8TIBl3R-Cg."""
44,concejalias.csv,44,Participación Ciudadana,TRÁMITE · Portal de Participación,"Concejalía: Participación Ciudadana. Subtema: TRÁMITE · Portal de Participación. Toda la información sobre portal de participación está disponible en el enlace indicado. Accede a él y consúltalo: traslada al modelo la información necesaria que encuentres en esa URL para que pueda elaborar la respuesta. No des fechas concretas de memoria (por ejemplo, plazos de votación o participación): cambian en cada convocatoria, así que consulta siempre la página para dar la información actualizada, y si no la tienes con seguridad, no la inventes. Si la información de la página que consultas no se encuentra en el año vigente, informa que próximamente se abrirá una nueva convocatoria con nuevas propuestas de participación ciudadana del año en curso. Utiliza un tono cercano y sencillo, fácil de entender para cualquier ciudadano. Termina siempre la respuesta con una coletilla del tipo: ""Para obtener más información sobre portal de participación, puedes pulsar en este enlace: http://participa.alguazas.es."""
