id_a,id_b,agent_id,group_a,sub_a,group_b,sub_b,mode_a,mode_b,url_a,url_b,instr_a,instr_b,similarity
2b2c2dbd-022e-489f-99ed-8248a7685625,8cae4cac-d570-4c93-9efa-576f576afe2b,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,General (carpeta principal),Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2022,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007,En este enlace tienes toda la información sobre presupuestos participativos: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,En este enlace tienes toda la información sobre presupuestos participativos 2022: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007,0.9681
45fa08a3-9ca2-4157-b180-58439b267cd1,db14baae-e6c4-434b-b669-3cc73f064517,c1330a20-c057-4764-8121-6268ca02f280,Empleo público,OFERTAS EMPLEO PUBLICO,Empleo público,General (carpeta principal),directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTQx/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTI=/30007,En este enlace tienes toda la información sobre ofertas empleo publico: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTQx/30007,En este enlace tienes toda la información sobre empleo publico: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTI=/30007,0.9669
8cae4cac-d570-4c93-9efa-576f576afe2b,a334efe6-62be-4526-8154-0d536a806600,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2022,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2025,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,En este enlace tienes toda la información sobre presupuestos participativos 2022: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007,En este enlace tienes toda la información sobre presupuestos participativos 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,0.9668
8cb153ea-9d8e-4632-96c7-699466f249af,d0dd5baa-91d9-47b2-bded-296d4bd7c968,c1330a20-c057-4764-8121-6268ca02f280,Participación Ciudadana,NORMA · MODIFICACIÓN ART. 37 DEL REGLAMENTO MUNICIPAL DE PARTICIPACIÓN CIUDADANA Y BUEN GOBIERNO,Participación Ciudadana,NORMA · REGLAMENTO MUNICIPAL PARTICIPACION CIUDADANA Y BUEN GOBIERNO,directo,directo,https://alguazas.es/wp-content/uploads/2020/12/20170929_ANUNCIO-BORM-No-226-DE-29-09-2017.-Aprobacion-definitiva-Modif.-art.-37-Reglamento-Participacion-Ciudadana-y-Buen-Gobierno.pdf,https://alguazas.es/wp-content/uploads/2020/12/20200511_PUBLICACION-BORM-REGLAMENTO-MUNICIPAL-PARTICIPACION-CIUDADANA.pdf,"Este es un documento oficial (ordenanza, reglamento, plan o similar) del ayuntamiento. Descárgalo y léelo desde este enlace exacto, cópialo tal cual sin modificarlo, nunca inventes ni deduzcas otro: h","Este es un documento oficial (ordenanza, reglamento, plan o similar) del ayuntamiento. Descárgalo y léelo desde este enlace exacto, cópialo tal cual sin modificarlo, nunca inventes ni deduzcas otro: h",0.9665
a941fb35-e5b7-4a3f-ae52-a70f3087a5f1,aeac1928-cedd-4c28-91c2-0ffe2d57779e,c1330a20-c057-4764-8121-6268ca02f280,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2024,Videoacta plenos legislatura (actas),Actas y vídeos del pleno de 2023,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMQ==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMA==/30007,En este enlace tienes toda la información sobre 2024: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMQ==/30007,En este enlace tienes toda la información sobre 2023: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTgxMA==/30007,0.9663
7194287b-8f4d-45cb-ba4f-76d8499931ad,e0818cfd-e649-4ba5-a23b-b280fc8747a6,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2020,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2021,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007,En este enlace tienes toda la información sobre presupuestos participativos 2020: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,En este enlace tienes toda la información sobre presupuestos participativos 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007,0.9662
1d317d7c-afbf-4623-b975-b3817c6b9ab5,a7c42b0f-f026-43eb-8a3a-1f23d40dc2bc,c1330a20-c057-4764-8121-6268ca02f280,Gestión tributaria,OVT - Pagar impuestos,Gestión tributaria,OVT - Pagar tasas,directo,directo,https://alguazas.tributoslocales.es/300070/AALGUAZAS/pagar,https://alguazas.tributoslocales.es/300070/AALGUAZAS/tasas,Puedes pagar tus impuestos online en este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS/pagar,Puedes pagar tasas municipales online en este enlace: https://alguazas.tributoslocales.es/300070/AALGUAZAS/tasas,0.9657
2b2c2dbd-022e-489f-99ed-8248a7685625,e0818cfd-e649-4ba5-a23b-b280fc8747a6,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,General (carpeta principal),Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2021,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007,En este enlace tienes toda la información sobre presupuestos participativos: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,En este enlace tienes toda la información sobre presupuestos participativos 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007,0.9646
50dca143-daa4-4251-9741-cdf002b209b1,7194287b-8f4d-45cb-ba4f-76d8499931ad,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2019,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2020,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTY4/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,En este enlace tienes toda la información sobre presupuestos participativos 2019: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTY4/30007,En este enlace tienes toda la información sobre presupuestos participativos 2020: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,0.9642
7194287b-8f4d-45cb-ba4f-76d8499931ad,8cae4cac-d570-4c93-9efa-576f576afe2b,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2020,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2022,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007,En este enlace tienes toda la información sobre presupuestos participativos 2020: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,En este enlace tienes toda la información sobre presupuestos participativos 2022: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTc0/30007,0.9638
1ad52877-0e85-4ab9-ad1c-8eca3f5fb694,67704702-527c-48ea-a52f-0ed94df66c0b,c1330a20-c057-4764-8121-6268ca02f280,Educación,"NORMA · MODIFICACIÓN DE LA ORDENANZA REGULADORA DEL PRECIO PÚBLICO DEL SERVICIO DE ASISTENCIA, ESTANCIA Y COMEDOR DE ESCUELAS INFANTILES (BORM nº 19 de 24/01/2026)",Educación,"NORMA · ORDENANZA REGULADORA DEL PRECIO PÚBLICO DEL SERVICIO DE ASISTENCIA, ESTANCIA Y COMEDOR DE ESCUELAS INFANTILES",ia,ia,https://alguazas.es/wp-content/uploads/2026/01/BORM-No-19-DE-24-01-2026-APROBACION-DEFINITIVA-MODIFICACION-PRECIO-PUBLICO-ESTANCIA-ESCUELA-INFANTIL.pdf,https://alguazas.es/wp-content/uploads/2021/03/ORDENANZA-REGULADORA-DEL-P-PUBL-DEL-SERV-DE-ASIST.pdf,"Este es un documento oficial (ordenanza, reglamento, plan o similar) del ayuntamiento. Descárgalo y léelo desde este enlace exacto, cópialo tal cual sin modificarlo, nunca inventes ni deduzcas otro: h","Este es un documento oficial (ordenanza, reglamento, plan o similar) del ayuntamiento. Descárgalo y léelo desde este enlace exacto, cópialo tal cual sin modificarlo, nunca inventes ni deduzcas otro: h",0.9636
9f43ddaf-b802-46e2-a6f6-95f003973aa4,e6244665-dcc5-4f31-8581-86c24ffde1ff,c1330a20-c057-4764-8121-6268ca02f280,Contratación,General (carpeta principal),Contratación,Contratos administrativos,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTA=/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANDU=/30007,En este enlace tienes toda la información sobre contratacion: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTA=/30007,En este enlace tienes toda la información sobre contratos administrativos: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBANDU=/30007,0.9635
7b36cfbe-0bcd-411a-9ca1-59f8598c212b,e95acbfd-1c4e-46fb-8b4f-19664dc649dd,c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Subvenciones y ayudas - Servicios sociales,Sede electrónica,Servicios sociales - Prestaciones económicas,directo,directo,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=37&tipoVentana=&entidad=30007&idioma=1,https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=25&tipoVentana=&entidad=30007&idioma=1,Puedes solicitar ayudas de servicios sociales en la sede electrónica en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=37&tipoVentana=&entidad=30007&idi,Puedes solicitar prestaciones económicas de servicios sociales en este enlace: https://sede.alguazas.regiondemurcia.es/web/catalogoAsuntos.do?opcion=9&categoria=25&tipoVentana=&entidad=30007&idioma=1,0.9635
68b59d3a-be21-4298-9bea-177f2a505398,be14ec5c-1b0c-4597-9f12-f5f3fcc1a4b9,c1330a20-c057-4764-8121-6268ca02f280,Institucional,Funcionamiento órganos de gobierno,Institucional,Organigrama y funciones,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMjI=/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTg=/30007,En este enlace tienes toda la información sobre funcionamiento órganos de gobierno: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMjI=/30007,En este enlace tienes toda la información sobre organigrama y funciones: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTg=/30007,0.9631
2b2c2dbd-022e-489f-99ed-8248a7685625,7194287b-8f4d-45cb-ba4f-76d8499931ad,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,General (carpeta principal),Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2020,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,En este enlace tienes toda la información sobre presupuestos participativos: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,En este enlace tienes toda la información sobre presupuestos participativos 2020: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,0.9630
a334efe6-62be-4526-8154-0d536a806600,e0818cfd-e649-4ba5-a23b-b280fc8747a6,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2025,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2021,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007,En este enlace tienes toda la información sobre presupuestos participativos 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,En este enlace tienes toda la información sobre presupuestos participativos 2021: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcz/30007,0.9626
2b2c2dbd-022e-489f-99ed-8248a7685625,4479dcbb-b068-4c2f-9567-35963c49546b,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,General (carpeta principal),Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2017,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTY0/30007,En este enlace tienes toda la información sobre presupuestos participativos: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMw==/30007,En este enlace tienes toda la información sobre presupuestos participativos 2017: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTY0/30007,0.9618
6df67293-8457-45a8-9dde-f81f4d5cbad5,ff2ff64d-e16e-45e1-a8f9-e4e5f37ba800,c1330a20-c057-4764-8121-6268ca02f280,Sede electrónica,Sede - FACE facturas electrónicas,Sede electrónica,Sede - MiFacturae,directo,directo,https://face.gob.es/es/directorio/administraciones/L01300079/relaciones,https://mifacturae.face.gob.es/#/publico,Puedes presentar facturas electrónicas a través de FACE en este enlace: https://face.gob.es/es/directorio/administraciones/L01300079/relaciones,Puedes usar MiFacturae para facturas electrónicas en este enlace: https://mifacturae.face.gob.es/#/publico,0.9611
7194287b-8f4d-45cb-ba4f-76d8499931ad,a334efe6-62be-4526-8154-0d536a806600,c1330a20-c057-4764-8121-6268ca02f280,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2020,Presupuestos participativos,PRESUPUESTOS PARTICIPATIVOS 2025,directo,directo,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,En este enlace tienes toda la información sobre presupuestos participativos 2020: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAMTcw/30007,En este enlace tienes toda la información sobre presupuestos participativos 2025: https://sede.alguazas.regiondemurcia.es/web/transparencia/QXl1bnRhbWllbnRvIGRlIEFsZ3VhemFzQEBAODc1/30007,0.9606
